State,City,Locations,Courts
CA,Cathedral City,2,13
CA,Chico,2,19
CA,Chino Hills,2,9
CA,Claremont,2,15
CA,Concord,2,16
CA,Copperopolis,2,4
CA,Covina,2,8
CA,Crescent City,2,5
CA,Cupertino,2,14
CA,Dana Point,2,8
CA,Eastvale,2,5
CA,El Segundo,2,17
CA,Fiddletown,2,5
CA,Fort Bragg,2,10
CA,Fortuna,2,5
CA,Fountain Valley,2,53
CA,Gilroy,2,6
CA,Hanford,2,12
CA,Hermosa Beach,2,4
CA,Hesperia,2,7
CA,Hollister,2,7
CA,Kingsburg,2,6
CA,Laguna Hills,2,12
CA,Lake Arrowhead,2,4
CA,Lake Elsinore,2,5
CA,Lakeside,2,12
CA,La Mirada,2,6
CA,Lancaster,2,11
CA,La Puente,2,7
CA,Lincoln,2,19
CA,Lodi,2,10
CA,Loma Linda,2,28
CA,Lompoc,2,12
CA,Manteca,2,8
CA,Menlo Park,2,6
CA,Modesto,2,28
CA,Monterey Park,2,7
CA,Morgan Hill,2,9
CA,Novato,2,18
CA,Oakdale,2,8
CA,Occidental,2,5
CA,Orinda,2,5
CA,Paso Robles,2,6
CA,Patterson,2,12
CA,Penn Valley,2,9
CA,Perris,2,5
CA,Petaluma,2,5
CA,Portola Valley,2,12
CA,Rancho Cordova,2,11
CA,Rancho Santa Margarita,2,16
CA,Red Bluff,2,7
CA,Riverbank,2,12
CA,Rohnert Park,2,20
CA,Rolling Hills Estates,2,8
CA,Salinas,2,10
CA,San Geronimo,2,4
CA,San Juan Capistrano,2,5
CA,San Leandro,2,14
CA,San Luis Obispo,2,10
CA,Santa Clara,2,16
CA,Santa Maria,2,9
CA,Sausalito,2,8
CA,Seaside,2,24
CA,Sebastopol,2,4
CA,South Pasadena,2,14
CA,Spring Valley,2,51
CA,Sunnyvale,2,18
CA,Tahoe City,2,16
CA,Temescal Valley,2,4
CA,Trabuco Canyon,2,20
CA,Tracy,2,6
CA,Ventura,2,10
